.kevin,Soundpack\Memes\kevin.mp3,0.5,1.2
.mine,Soundpack\Memes\mine.mp3,0.45,6.4
.misinput,Soundpack\Memes\misinput.mp3,0.3,5.7
.mweep,Soundpack\Memes\mweep.wav,0.6,0.34444444444444444
.mikey,Soundpack\Memes\OH SHIT MIKEY YAKSON.mp3,0.7,2.5
.banana,Soundpack\Memes\oh_banana.mp3,0.4,2.3
.patches,Soundpack\Memes\patches yaharr.wav,0.4,3.4452291666666666
.yaharr,Soundpack\Memes\patches yaharr.wav,0.4,3.4452291666666666
.rolling,Soundpack\Memes\rolling start.mp3,0.35,7.0
.gorilla,Soundpack\Memes\Tarzan says Gorilla English.mp3,0.3,2.1
.wagh,Soundpack\Memes\wagh.mp3,0.5,3.5
.blaine,Soundpack\Memes\when you're hot you're hot.wav,0.5,1.0129705215419502
.wort,Soundpack\Memes\wort.mp3,0.4,1.1
.woop,Soundpack\Memes\zoidberg-woop-woop.mp3,1.0,2.2
.money,Soundpack\Memes\I like money.mp3,0.4,0.8
.ambatukum,Soundpack\Memes\ambatukum.mp3,0.4,3.4
.joker,Soundpack\Memes\joker.mp3,0.6,2.0
.barnacles,Soundpack\Memes\barnacles.mp3,1.0,3.2
.door,Soundpack\Memes\door stuck.mp3,0.5,2.6
.tidus,Soundpack\Memes\tidus.mp3,1.0,3.5
.hogger,Soundpack\Memes\hoggarrr.wav,0.5,2.238354166666667
.kingler,Soundpack\Memes\kingler.wav,0.5,0.3831292517006803
.cloyster,Soundpack\Memes\cl-l-l-l-l-l-loyster.wav,0.4,1.4918820861678004
.venomoth,Soundpack\Memes\venomth.wav,0.5,0.43682539682539684
.nido,Soundpack\Memes\nidoqueen.wav,0.35,1.4048072562358276
.guardian,Soundpack\Memes\cum_guardian.wav,0.4,1.2920634920634921
.pluto,Soundpack\Pals\plutoisabitch.mp3,1.0,2.4
.bitch,Soundpack\Pals\plutoisabitch.mp3,1.0,2.4
.cos,Soundpack\Pals\circle of scorn.mp3,0.2,1.0
.circleofscorn,Soundpack\Pals\circle of scorn.mp3,0.2,1.0
.cringe,Soundpack\Pals\CRINGE.mp3,0.8,0.9
.bio,Soundpack\Pals\drain the main vein.mp3,0.4,3.0
.mainvein.vein,Soundpack\Pals\drain the main vein.mp3,0.4,3.0
.poggers,Soundpack\Pals\eien_poggers.mp3,0.5,1.0
.nut,Soundpack\Pals\fat fucking nut cut.mp3,0.25,1.7
.mike,Soundpack\Pals\fuck mike.mp3,0.8,1.0
.fuckpluto,Soundpack\Pals\fuck you pluto.mp3,0.2,1.2
.fuckyou,Soundpack\Pals\FUCK YOU.mp3,0.6,0.8
.embolden,Soundpack\Pals\FUCK YOU.mp3,0.6,0.8
.brbr,Soundpack\Pals\gahhh brbrbrbr.mp3,0.35,1.2
.gobble,Soundpack\Pals\gobble my cock.mp3,0.2,2.0
.confiteor,Soundpack\Pals\grapefiteor.mp3,0.45,2.0
.grapefruit,Soundpack\Pals\grapefiteor.mp3,0.45,2.0
.grapefiteor,Soundpack\Pals\grapefiteor.mp3,0.45,2.0
.griefer,Soundpack\Pals\griefer.mp3,0.55,0.3
.jalen,Soundpack\Pals\howlongcanyouscream.mp3,0.25,11.7
.ugly,Soundpack\Pals\I just want you to know you're ugly.mp3,0.5,1.2
.poop,Soundpack\Pals\jalen poopie a lot.mp3,0.25,1.6
.keikaku,Soundpack\Pals\keikaku.mp3,0.8,1.3
.mdp,Soundpack\Pals\mdp.mp3,0.9,1.7
.mmc,Soundpack\Pals\mmc.mp3,1.0,1.2
